suitable-for Western-Wear
fly Zipper
id 1271
type Chinos
pattern Solid
fabric Cotton
pleats Flat-Front
belt-loops Yes
closure Button
product-name Peter-England-Men-s-Dark-Blue-Trousers
domain Trousers
fabric-care Machine-Wash-as-per-Tag,Bleach-when-needed,Use-Non-Chlorine-Bleach,Iron-Steam-or-Dry-as-per-Tag
occasion Casual
alteration-required No
