bluetooth v4.0
additional-features Li-ion-Battery
ram 4-GB
ssd No
domain Mobile
processor-brand Intel
rj45 Yes
id 1065
processor-generation 7th-Gen
os-architecture 64-bit
internal-mic Built-in-Microphone
web-camera HD-Webcam
mic-in Yes
speakers Dual-Speakers
screen-size 14-inch
dedicated-graphic-memory-capacity 2-GB
touchscreen No
operating-system Windows-10-Home
not-covered-in-warranty Physical-Damage
model-number Ideapad-510s
processor-variant 7200U
rpm 5400
battery-backup Upto-5-hours
covered-in-warranty Manufacturing-Defects
pointer-device Touchpad
ram-type DDR3
disk-drive Not-Available
wireless-lan IEEE-802.11ac
part-number 80UV006MIH
product-name Lenovo-Core-i5-7th-Gen-4-GB-1-TB-HDD-Windows-10-Home-2-GB-Graphics-80UV006MIH-Ideapad-510s-Notebook-14-inch-Silver-1-7-kg-
hdd-capacity 1-TB
hardware-interface SATA
color Silver
type Notebook
screen-resolution 1920-x-1080-pixel
sales-package Laptop,Battery,Power-Adaptor,User-Guide,Warranty-Documents,USB-Ethernet-Adapter
cache 3-MB
emmc-storage-capacity NA
domestic-warranty 1-Year
usb-port 2-x-USB-3.0,1-x-USB-2.0
graphic-processor AMD-R16M-M1-30
system-architecture 64-bit
ethernet NA
dedicated-graphic-memory-type DDR3
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
warranty-summary 1-Year-Onsite-Warranty
warranty-service-type Onsite
suitable-for Processing-&-Multitasking,Travel-&-Business
processor-name Core-i5
clock-speed 2.5-GHz-with-Turbo-Boost-Upto-3.1-GHz
keyboard Standard-Keyboard
weight 1.7
dimensions 335-x-235-x-19.3-mm
