browse-type Smartphones
width 0.0586
display-size 3.5-inch
sound-enhancements Built-in-Speaker,Microphone
hybrid-sim-slot No
product-name Apple-iPhone-4s-White-8-GB-
model-name iPhone-4s
sms-memory Yes
sim-type Single-Sim
otg-compatible No
operating-frequency GSM---850,900,1800,1900;-UMTS---2100
secondary-camera-available Yes
video-recording Yes
warranty-summary 1-Year-Manufacturer-Warranty
video-formats MOV,AVI,H.264,M4V,AAC-LC,MP4,MPEG-4
edge Yes
video-recording-resolution 1920-x-1080
flash LED
primary-camera-available Yes
secondary-camera 0.3-megapixel
phone-book-memory Yes
sensors Proximity-Sensor,Three-axis-Gyro-Sensor,Accelerometer,Digital-Compass,Ambient-Light-Sensor
battery-type Lithium-Ion
wi-fi-version 802.11-b/g/n
network-type 3G
id 1243
height 0.1152
nfc No
processor-type A5-Chip
supported-networks GSM
depth 0.009300000000000001
touchscreen-type Capacitive
hd-recording Yes
other-display-features Retina-Display,Finger-Print-Resistant,Oleophobic-Coating-on-Front-and-Back,Brightness,Multi-touch
smartphone Yes
color White
primary-camera 8-megapixel
frame-rate 30-fps
3g Yes
bluetooth-support Yes
call-log-memory Yes
sim-size Micro-SIM
weight 0.14
internal-storage 8-GB
resolution-type Retina-Display
map-support Yes
full-hd-recording Yes
usb-connectivity Yes
removable-battery No
domain Mobile
audio-jack 3.5-mm
wi-fi Yes
audio-formats WAV,MP3
gps-support Yes
resolution 960-x-640-Pixels
primary-camera-features Primary-Camera:-Auto-Focus,Tap-to-Focus,Face-Detection,Panorama,Geo-tagging,Backside-Illumination-Sensor,Five-element-Lens,Hybrid-IR-Filter,f-/-2.4-Aperture--Secondary-Camera:-VGA-resolution-Video-Recording
internet-connectivity Wi-Fi,EDGE,3G
pre-installed-browser Safari
important-apps Weather,iTunes-Store,App-Store,News-Stand,iMovie,iBooks,iTunes-U,Podcasts,Find-My-iPhone,Find-My-Friends,Remote,iTunes-Festival,Stocks,iPhoto,Keynote,Pages,Numbers
bluetooth-version 4
