bluetooth v4.0
ram 8-GB
ssd Yes
domain Mobile
processor-brand Intel
model-name Yoga
os-architecture 64-bit
weight 1.20
id 1073
processor-generation 5th-Gen
hdmi-port Yes,Micro-HDMI
series Yoga-3-Pro
internal-mic Dual-Microphones
web-camera 720p-,30-Framse-Per-Sec
mic-in Yes
speakers 2x-1.5W-JBL-stereo-speakers
screen-size 13.3-inch
covered-in-warranty Parts-and-Labour
touchscreen Yes
included-software Lenovo-SHAREit,Lenovo-Harmony,Lenovo-Reach,Lenovo-OneKey-Recovery,Lenovo-OneKey-Optimizer,Lenovo-Veriface-Pro
sound-chip Realtek-ALC286
operating-system Windows-10-Home
not-covered-in-warranty Physical-damage
model-number Yoga-3-Pro
processor-variant M-5Y71
ssd-capacity 512-GB
battery-backup Upto-7.2-hours
ram-frequency 1600-MHz
pointer-device Clickpad
ram-type DDR3
sound-properties Stereo-Speakers,JBL
wireless-lan Broadcom-4352-AC-(2x2)
part-number 80HE0138IN
product-name Lenovo-Yoga-3-Pro-Core-M-5th-Gen-8-GB-512-GB-SSD-Windows-10-Home-80HE0138IN-Yoga-3-Pro-2-in-1-Laptop-13-3-inch-Golden-1-20-kg-
cache 4-MB
power-supply 40-W-AC-Adapter
type 2-in-1-Laptop
screen-resolution 2560-x-1600-pixel-pixel
sales-package Laptop,Power-Adapter,Power-Chord,Quick-Start-Guide
supported-operating-system Windows-10(64-bit),Windows-8.1(64-bit)
screen-type WHD+-LED-Backlit-Glossy-Multi-touch-Display
usb-port 2-x-USB-3.0,1-x-USB-2.0
graphic-processor Intel-HD-Graphics-5300
system-architecture 64-bit
color Golden
multi-card-slot 4-in-1-Card-Reader
battery-cell 4-Cell-44.8-Watt-Hour-Li-Polymer
warranty-summary 1-Year-Onsite-Warranty
warranty-service-type onsite
suitable-for Travel-&-Business,Processing-&-Multitasking
processor-name Core-M
expandable-memory Not-expandable
memory-slots 0(On-Board-Memory)
clock-speed 1.2-GHz-with-Turbo-Boost-Upto-2.9-GHz
keyboard BackLite-AccuType-Keyboard
dimensions 330-x-229-x-12.7
