refrigerator-type Top-Freezer-Refrigerator
egg-tray Yes
other-dimensions Net-Freezer-Capacity:-53-L,Net-Refrigerator-Capacity:-202-L,Net-Case-Height-with-Hinge:-1635-mm,Net-Case-Height-without-Hinge:-1635-mm,Net-Depth-with-Door-Handle:-688-mm,Net-Depth-without-Door:-545-mm
gross-refrigerator-capacity 206-L
built-in-stabilizer Yes
defrosting-type Frost-Free
type Double-Door
toughened-glass Yes
product-name SAMSUNG-275-L-Frost-Free-Double-Door-Refrigerator-RT29JSMSAPZ-Tender-Lily-Purple-
net-depth-without-handle 637-mm
gross-freezer-capacity 69-L
number-of-refrigerator-shelves 3
warranty-summary 1-Year-on-Product-and-10-Years-on-the-Compressor
other-features Display-and-Control-(Fridge-and-Freezer):-LED-Display,Smart-Connect-Inverter,Lock-and-Key,Deodorizing-Filter
door-alarm Yes
refrigerator-interior-light Yes
compressor-type Digital-Inverter-Compressor
capacity 275-L
shelf-material Toughened-Glass
ice-cube-tray-type Twist-Ice-Maker-(Ice-Max)
other-performance-features Fresh-Room,All-Round-Cooling-Type,Moist-Fresh-Zone,Ice-Max,Power-Cool-Function,Humidity-Control-(Vegetable-and-Fruit-Drawer):-(Moist-Fresh-Zone---Vegetable-Box-Only),Humidity-Control-(Drawer-Only):-(Moist-Fresh-Zone),Power-Freeze-Function,Cooling-Even-at-55°C
water-dispenser No
moisture-control Yes
coolpad Yes
covered-in-warranty All-Parts-Excluding-Plastic-Parts,Glassware,Bulb-and-Tube-from-the-Date-of-Purchase-Against-Defective-Material-and-Workmanship
net-total-capacity 255-L
design Floral-Design
handle-type Metallic-Bar
number-of-refrigerator-door-bins 5
number-of-freezer-shelves 1
cooling-refrigerant R-600a
number-of-doors 2
net-width 555-mm
stabilizer-required No
not-covered-in-warranty Parts:-Plastic-/-Glassware-/-Bulb-/-Tube.-Any-Accessories-External-to-the-Product.-The-Product-is-not-Used-According-to-the-Instructions-Given-in-the-Instructions-Manual.-Defects-Caused-by-Improper-Use-as-Determined-by-the-Company-Personnel.-Modification-or-Alteration-of-Any-Nature-made-in-the-Electrical-Circuitry-or-Physical-Construction-of-the-Set.-Site-(where-the-Premises-is-Kept)-Conditions-that-do-Not-Confirm-to-the-Recommended-Operating-Conditions-of-the-Machine.-The-Serial-Number-is-Removed,Altered-or-Obliterated-from-the-Machine.-Defects-Due-to-Cause-Beyond-Control-Like-Lightening,Abnormal-Voltage,Acts-of-God-or-While-in-Transit-to-the-Service-Centers-or-Purchasers-Residence.
sales-package 1-Refrigerator,User-Manual-and-Warranty-Card
deodorizer Yes
water-&-ice-dispenser No
id 1174
net-depth 688-mm
door-lock Yes
net-height 1635-mm
installation-&-demo Standard-installation-and-demo-is-provided-free-of-cost.-After-delivery-of-your-Refrigerator,you-will-receive-a-ticket-number-via-message.-Post-that,you-will-receive-a-call-from-the-authorized-service-engineer-to-schedule-a-mutually-convenient-time-to-provide-demo-and-installation-at-your-doorstep.-Installation-TAT-will-be-2-to-5-business-days-depending-on-the-location.Kindly-contact-us-on-1800-208-9898-for-any-further-queries.
star-rating 3
other-convenience-features Number-of-Vegetable-and-Fruit-Drawer-(Refrigerator):-2-(Vegetable-Box-and-Fruit-Drawer),Refrigerator-Interior-Light:-LED,Freezer-Shelf-Material:-Cool-Pack-12-hr,Big-Bottle-Guard,Convertible-Freezer,Convertible-Room-(°C):-Convertible-Freezer-to-Fridge:--23°C-to-7°C,Easy-Slide-Out-Shelf,Second-Vegetable-Box,Refrigerator-Door-Pocket-Type:-Transparent
domain Refrigerator
weight 51.2
number-of-freezer-door-bins 2
number-of-refrigerator-drawers 2
display-type Digital
technology-used Digital-Inverter-Technology,Dual-Fan-Technology
