style-code EHSH0534Blue
secondary-color White
fit Slim
sleeve Full-Sleeve
model-details This-model-has-a-Height-of-6-feet-1-inches-and-is-wearing-a-of-Size-M
id 1363
product-name Ed-Hardy-Men-s-Self-Design-Casual-Dark-Blue-Shirt
hem NA
pockets NA
domain Shirt
pattern Self-Design
reversible No
collar Mandarin-Collar
fabric-care Machine-Wash-as-per-Tag
placket Button-Down-Placket
closure Button
pack-of 1
fabric Cotton
