refrigerator-type Top-Freezer-Refrigerator
egg-tray Yes
other-dimensions Net-Case-Height-with-Hinge:-1192-mm,Net-Case-Height-without-Hinge:-1192-mm,Net-Depth-with-Door-Handle:-619-mm,Net-Depth-without-Door:-529-mm
gross-refrigerator-capacity 167-L
built-in-stabilizer No
defrosting-type Direct-Cool
type Single-Door
toughened-glass Yes
product-name SAMSUNG-192-L-Direct-Cool-Single-Door-Refrigerator-RR19H1104SE-Elective-Silver-
net-depth-without-handle 619-mm
gross-freezer-capacity 25-L
number-of-refrigerator-shelves 3
warranty-summary 1-Year-on-Product-and-10-Years-on-the-Compressor
id 1171
coolpad No
refrigerator-interior-light Yes
compressor-type Reciprocatory-Compressor
capacity 192-L
shelf-material Toughened-Glass
ice-cube-tray-type Ice-Maker
other-features Stylish-Crown-Design,Fire-Retardant-Wire,Free-Standing,Lock-and-Key,Smooth-Back
other-performance-features Cooling-Retention-(Cool-Pack):-6-hrs,Fresh-Room
water-dispenser No
freezer-tray-type Ice-Tray
covered-in-warranty All-Parts-Excluding-Plastic-Parts,Glassware,Bulb-and-Tube-from-the-Date-of-Purchase-Against-Defective-Material-and-Workmanship
net-total-capacity 182-L
handle-type Recessed-Handle
insulation-type Cyclopentane-Insulation
number-of-refrigerator-door-bins 4
cooling-refrigerant R-134a
number-of-doors 1
net-width 532-mm
stabilizer-required No
sales-package 1-Refrigerator,User-Manual-and-Warranty-Card
water-&-ice-dispenser No
gasket-type Anti-Fungal-Gasket
net-depth 619-mm
door-lock Yes
net-height 1192-mm
installation-&-demo This-product-does-not-require-installation.-The-features-of-the-product-are-presented-in-the-user-manual-that-comes-with-it.-Hence,the-manufacturer-does-not-provide-on-site-installation-or-demo-for-the-product.-In-case-of-any-queries-about-the-installation-or-the-features-of-product,kindly-call-us-at-1800-208-9898-or-(080)-49400000-for-assistance.
star-rating 4
other-convenience-features Refrigerator---Vegetable-and-Fruit-Drawer,Refrigerator-Material-of-Vegetable-and-Fruit-Drawer:-Translucent-(PP),Refrigerator-Door-Pocket-Type:-Transparent-GPPS,Door-Open-Type:-Swing,16.5-L-Big-Veg-Box,Big-Guards,Base-Stand-with-Drawer
domain Refrigerator
weight 32
not-covered-in-warranty Parts:-Plastic-/-Glassware-/-Bulb-/-Tube.-Any-Accessories-External-to-the-Product.-The-Product-is-not-Used-According-to-the-Instructions-Given-in-the-Instructions-Manual.-Defects-Caused-by-Improper-Use-as-Determined-by-the-Company-Personnel.-Modification-or-Alteration-of-Any-Nature-made-in-the-Electrical-Circuitry-or-Physical-Construction-of-the-Set.-Site-(where-the-Premises-is-Kept)-Conditions-that-do-Not-Confirm-to-the-Recommended-Operating-Conditions-of-the-Machine.-The-Serial-Number-is-Removed,Altered-or-Obliterated-from-the-Machine.-Defects-Due-to-Cause-Beyond-Control-Like-Lightening,Abnormal-Voltage,Acts-of-God-or-While-in-Transit-to-the-Service-Centers-or-Purchasers-Residence.
number-of-refrigerator-drawers 1
