bluetooth v4.0
read/write-speed 8x
ram 8-GB
ssd No
domain Mobile
processor-brand Intel
weight 2.5
id 1048
processor-generation 5th-Gen
hdmi-port Yes
series G50-80
internal-mic Yes
web-camera HD-Webcam
mic-in Yes
speakers 2-x-1.5-W-Stereo-Speakers
screen-size 15.6-inch
dedicated-graphic-memory-capacity 2-GB
touchscreen No
operating-system DOS
model-number G50-80
processor-variant 5200U
rpm 5400
battery-backup Upto-4-hours
ram-frequency 1600-MHz
pointer-device Touchpad
ram-type DDR3
disk-drive CD/DVD-writer
sound-properties Dolby-Advanced-Audio
wireless-lan Intel-3160-1x1-AC
part-number 80E503CMIH
product-name Lenovo-G50-80-Core-i5-5th-Gen-8-GB-1-TB-HDD-DOS-2-GB-Graphics-80E503CMIH-G50-80-Notebook-15-6-inch-Black-2-5-kg-
hdd-capacity 1-TB
power-supply 65-W-AC-Adapter
type Notebook
screen-resolution 1366-X-768-pixel
sales-package Laptop,Battery,Power-Adapter,User-Guide
cache 3-MB
supported-operating-system Windows-10(64-bit),Windows-7(64bit),Windows-8(64bit),Windows-8.1(64bit)
screen-type HD-TN-GL-Flat-Display
usb-port 1-x-USB-3.0,2-x-USB-2.0
graphic-processor AMD-Radeon-R5-M330
system-architecture 64-bit
color Black
dedicated-graphic-memory-type DDR3
multi-card-slot 2-in-1-Card-Reader
battery-cell 4-cell
warranty-summary 1-Year-Onsite-Warranty
suitable-for Processing-&-Multitasking,Entertainment
processor-name Core-i5
clock-speed 2.2-GHz-with-Turbo-Boost-Upto-2.7-GHz
keyboard Standard-Keyboard
dimensions 384-x-265-x-25-mm
