bluetooth v4.0
read/write-speed 8x
ram 16-GB
ssd Yes
domain Mobile
processor-brand Intel
rj45 Yes
id 1063
processor-generation 6th-Gen
os-architecture 64-bit
internal-mic Built-in-Microphone
web-camera 1-Megapixel-HD-Webcam
mic-in Yes
speakers Dual-Speakers
screen-size 17.3-inch
dedicated-graphic-memory-capacity 4-GB
touchscreen No
operating-system Windows-10-Home
not-covered-in-warranty Physical-Damage
model-number Y700
processor-variant 6700HQ
ssd-capacity 128-GB
rpm 5400
battery-backup Upto-5-hours
covered-in-warranty Manufacturing-Defects
pointer-device Touchpad
ram-type DDR4
disk-drive CD/DVD-writer
wireless-lan Intel-3165-1x1-AC
part-number 80Q000E3IH
product-name Lenovo-Core-i7-6th-Gen-16-GB-1-TB-HDD-128-GB-SSD-Windows-10-Home-4-GB-Graphics-80Q000E3IH-Y700-Notebook-17-3-inch-Black-3-5-kg-
hdd-capacity 1-TB
hardware-interface SATA
color Black
type Notebook
screen-resolution 1920-x-1080-pixel
sales-package Laptop,Battery,Power-Adaptor,User-Guide,Warranty-Documents
cache 6-MB
emmc-storage-capacity NA
domestic-warranty 1-Year
usb-port 2-x-USB-3.0,1-x-USB-2.0
graphic-processor N16P-GX
system-architecture 64-bit
ethernet NA
dedicated-graphic-memory-type GDDR5
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
warranty-summary 1-Year-Onsite-Warranty
warranty-service-type Onsite
suitable-for Processing-&-Multitasking
processor-name Core-i7
clock-speed 2.6-GHz-with-Turbo-Boost-Upto-3.5-GHz
keyboard Standard-Keyboard
weight 3.5
dimensions 423-x-305-x-279-mm
