bluetooth v4.1
additional-features Li-ion-Battery
ram 4-GB
laptop-bag No
ssd No
domain Mobile
processor-brand Intel
model-name Yoga
os-architecture 64-bit
rj45 Yes
id 1075
processor-generation 7th-Gen
hdmi-port 1-x-HDMI-Port
internal-mic Dual-Array-Microphones
web-camera HD-Webcam
mic-in Yes
speakers 2-x-Speakers
screen-size 14-inch
covered-in-warranty Manufacturing-Defects
touchscreen Yes
operating-system Windows-10-Home
not-covered-in-warranty Physical-Damage
model-number 510-Yoga
domestic-warranty 1-Year
processor-variant 7200U
rpm 5400
battery-backup Upto-5-hours
ram-frequency 2133-MHz
pointer-device Touchpad
ram-type DDR4
disk-drive Not-Available
sound-properties Harman-Audio-Certified-Speakers
wireless-lan IEEE-802.11ac
part-number 80VB000DIH
product-name Lenovo-Core-i5-7th-Gen-4-GB-1-TB-HDD-Windows-10-Home-80VB000DIH-510-Yoga-2-in-1-Laptop-14-inch-Black-1-73-kg-
hdd-capacity 1-TB
hardware-interface SATA
expandable-memory Upto-8-GB
type 2-in-1-Laptop
screen-resolution 1920-x-1080-pixel
sales-package 2-in-1-Laptop,Battery,Power-Adaptor,User-Guide
cache 3-MB
supported-operating-system Windows-10
screen-type Full-HD-LED-Backlit-Anti-glare-IPS-Slim-Touch-Display
usb-port 2-x-USB-3.0,1-x-USB-2.0
graphic-processor Intel-HD-Graphics-620
system-architecture 64-bit
color Black
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
battery-cell 2-cell
warranty-summary 1-Year-Onsite-Warranty
ethernet Gigabit-Ethernet
warranty-service-type Onsite
suitable-for Processing-&-Multitasking,Entertainment,Travel-&-Business
processor-name Core-i5
memory-slots 1-Slot
clock-speed 2.5-GHz-with-Turbo-Boost-Upto-3.1-GHz
keyboard Standard-Keyboard-without-Numeric-Keypad
weight 1.73
dimensions 336.4-x-232-x-20.9-mm
