bluetooth v4.0
additional-features Li-ion-Battery
ram 4-GB
ssd No
domain Mobile
processor-brand Intel
rj45 Yes
id 1067
os-architecture 64-bit
series Yoga-300
internal-mic Built-in-Microphone
web-camera HD-Webcam
mic-in Yes
speakers Yes
screen-size 11.6-inch
touchscreen No
operating-system Windows-10-Home
not-covered-in-warranty Physical-Damage
model-number Yoga
domestic-warranty 1-Year
processor-variant N3710
battery-backup NA
covered-in-warranty Manufacturing-Defects
pointer-device Touchpad
ram-type DDR3
disk-drive Not-Available
wireless-lan Intel-3160-1X1-AC
part-number 80M100FKIN
product-name Lenovo-Yoga-300-Pentium-Quad-Core-4-GB-500-GB-HDD-Windows-10-Home-80M100FKIN-Yoga-2-in-1-Laptop-11-6-inch-Black-
hdd-capacity 500-GB
color Black
type 2-in-1-Laptop
screen-resolution 1366-x-768-pixel
sales-package Laptop,Battery,Power-Adaptor,User-Guide,Warranty-Documents
cache 2-MB
emmc-storage-capacity NA
screen-type HD-LED-Backlit-Display
graphic-processor Intel-HD-Graphics
system-architecture 64-bit
ethernet NA
warranty-summary 1-Year-Onsite-Warranty
warranty-service-type Onsite
suitable-for Processing-&-Multitasking,Travel-&-Business
processor-name Pentium-Quad-Core
clock-speed 1.6-GHz-with-Turbo-Boost-Upto-2.56-GHz
keyboard Standard-Keyboard
