refrigerator-type Bottom-Freezer-Refrigerator
egg-tray Yes
door-finish Glass
domain Refrigerator
gross-refrigerator-capacity 234-L
built-in-stabilizer Yes
number-of-refrigerator-bottle-racks 2
type Double-Door
toughened-glass Yes
product-name Haier-345-L-Frost-Free-Double-Door-Refrigerator-HRB-3654PKG-R-Black-Glass-2016-
wheel-support Yes
gross-freezer-capacity 86-L
number-of-refrigerator-shelves 2
warranty-summary 1Yr-Complete-and-9-Yr-on-Compressor
weight 72
other-features Wide-Range-Compressor
door-alarm No
refrigerator-interior-light Yes
compressor-type Reciprocatory-Compressor
capacity 345-L
shelf-material Toughened-Glass
ice-cube-tray-type Twist-Ice-Maker
other-performance-features 360-Degree-Air-Flow
water-dispenser No
moisture-control Yes
body-material Leather-Finish-Cabinet
freezer-tray-type Ice-Tray
covered-in-warranty Any-Electrical-Components-and-Cooling-System-Fault
id 1155
design Glass-Finish
handle-type Recess
removable-rack Yes
number-of-refrigerator-door-bins 1
freezer-interior-light No
number-of-freezer-shelves 1
cooling-refrigerant R-600a
number-of-doors 2
net-width 595-mm
clock No
stabilizer-required No
not-covered-in-warranty LED-Bulb,Broken-Plastic-Parts-/-Glass,Dent-After-Usage,Serviced-by-Unauthorised-Person
sales-package 1-Refrigerator,1-Ice-Tray,User-Manual,Warranty-Card-and-Key
water-&-ice-dispenser No
gasket-type Rubber-with-Magnet
net-depth 641.5-mm
defrosting-type Frost-Free
other-power-features Power-Consumption:-270-kwh/yr,Power-Features:-135-V---290-V
door-lock Yes
coolpad No
net-height 1600-mm
number-of-crispers 1
installation-&-demo Standard-installation-and-demo-is-provided-free-of-cost.-After-delivery-of-your-Refrigerator,you-will-receive-a-ticket-number-via-message.-Post-that,you-will-receive-a-call-from-the-authorized-service-engineer-to-schedule-a-mutually-convenient-time-to-provide-demo-and-installation-at-your-doorstep.-Installation-TAT-will-be-2-to-5-business-days-depending-on-the-location.Kindly-contact-us-on-1800-208-9898-for-any-further-queries.
removable-gasket No
star-rating 3
other-convenience-features 2x-Bigger-Separate-Fruit-and-Vegetable-Box,Foldable-Glass-Shelf,LED-Interior-Refrigerator-Light,1-Transparent-GPPS-Crisper,Door-Lock:-Flush-Lock,32-Ice-Cubes-Twist-Ice-Maker
insulation-type Cyclopentane
manufacture-year 2016
number-of-freezer-door-bins 2
flexible-rack Yes
technology-used 1-Hour-Icing-Technology
temperature-control Manual-Knob
child-lock No
