refrigerator-type Bottom-Freezer-Refrigerator
net-width 680-mm
built-in-stabilizer Yes
installation-&-demo Standard-installation-and-demo-is-provided-free-of-cost.-After-delivery-of-your-Refrigerator,you-will-receive-a-ticket-number-via-message.-Post-that,you-will-receive-a-call-from-the-authorized-service-engineer-to-schedule-a-mutually-convenient-time-to-provide-demo-and-installation-at-your-doorstep.-Installation-TAT-will-be-2-to-5-business-days-depending-on-the-location.Kindly-contact-us-on-1800-208-9898-for-any-further-queries.
star-rating Inverter-Technology
type French-Door-Bottom-Mount
number-of-doors 3
toughened-glass No
product-name Hitachi-456-L-Frost-Free-French-Door-Bottom-Mount-Refrigerator-R-WB480PND2-Glass-Brown-
other-power-features Cool-Power-Display,Works-Without-Stabilizer:-130-V---300-V
stabilizer-required No
net-depth 760-mm
sales-package 1-Refrigerator,User-Manual-and-Warranty-Card
net-depth-without-handle 760-mm
water-&-ice-dispenser No
gasket-type Moldproof-Door-Gasket
number-of-refrigerator-shelves 4
warranty-summary 1-Year-Product-Warranty-&-10-Years-Compressor
other-features Eco-Thermo-Sensor,Inverter-Control,Touch-Screen-Controller,Nano-Titanium,HFC-Free,Dual-Fan-Cooling,Electronic-Control,Selectable-Mode-Compartment,CFC-Free,Smart-open-Vegetable-Compartment,Super-Energy-Saving
door-alarm Yes
refrigerator-interior-light Yes
compressor-type Inverter-Compressor
capacity 456-L
shelf-material Tempered-Glass
ice-cube-tray-type Movable-Twist
defrosting-type Frost-Free
other-convenience-features Slide-Type-Double-Deck-Drawer,Quick-Freezing,Refrigerator:-Jumbo-Door-Pockets
domain Refrigerator
weight 90
net-height 1780-mm
water-dispenser No
series French-Bottom-Freezer
coolpad No
freezer-tray-type Ice-Tray
covered-in-warranty 1-Year-Complete-Warranty,10-Years-Warranty-on-Compressor-Only
id 1176
cooling-refrigerant R---600a
display-type Blue-Digital-Display
other-performance-features Long-Cool-Keeper,Powerful-Cooling
