bluetooth v4.0
ram-type DDR3
ram 4-GB
disk-drive CD/DVD-writer
wireless-lan IEEE-802.-11b/g/n
product-name Lenovo-IP-Celeron-Dual-Core-4th-Gen-4-GB-500-GB-HDD-DOS-80T7008JIH-IdeaPad-110-Notebook-15-6-inch-Black-
ssd No
domain Mobile
processor-brand Intel
screen-size 15.6-inch
hdd-capacity 500-GB
model-name IP-110
ethernet Integrated-10/100/1000
id 1062
processor-generation 4th-Gen
type Notebook
os-architecture 64-bit
screen-resolution 1366-x-768-pixel
sales-package 1-Laptop-|-1-Charger
series IP
graphic-processor NA
web-camera 0.3-Megapixel
color Black
operating-system DOS
warranty-summary 1-Year-Lenovo-Warranty
touchscreen No
warranty-service-type On-site-service
suitable-for Everyday-Use
supported-operating-system Windows-8,Windows-10
emmc-storage-capacity NA
processor-name Celeron-Dual-Core
model-number IdeaPad-110
part-number 80T7008JIH
not-covered-in-warranty Warranty-does-not-cover-any-physical-damage
battery-backup Up-to-4-Hours
covered-in-warranty Warranty-of-the-product-is-limited
