style-code VDSF516E05257Medium-blue-With-Black
placket Button-Down-Placket
fit Slim
sleeve Full-Sleeve
model-details This-model-has-a-Height-of-6-feet-1-inches-and-is-wearing-a-of-Size-M
id 1365
product-name V-Dot-by-Van-Heusen-Men-s-Solid-Casual-Blue-Shirt
hem Curved-Hem
pockets NA
suitable-for Western-Wear
pattern Solid
fabric-care Machine-wash-as-per-tag
collar Spread
domain Shirt
closure Button
pack-of 1
fabric Cotton
