bluetooth v4.0
additional-features Li-ion-Battery
ram 4-GB
ssd No
domain Mobile
processor-brand Intel
rj45 Yes
id 1059
processor-generation 7th-Gen
os-architecture 64-bit
internal-mic Built-in-Microphone
web-camera HD-Webcam
mic-in Yes
speakers Dual-Speakers
screen-size 14-inch
dedicated-graphic-memory-capacity 2-GB
touchscreen Yes
operating-system Windows-10-Home
not-covered-in-warranty Physical-Damage
model-number Yoga-510
domestic-warranty 1-Year
processor-variant 7200U
rpm 5400
battery-backup Upto-5-hours
covered-in-warranty Manufacturing-Defects
pointer-device Touchpad
ram-type DDR4
disk-drive Not-Available
wireless-lan IEEE-802.11ac
part-number 80VB00AGIH
product-name Lenovo-Core-i5-7th-Gen-4-GB-1-TB-HDD-Windows-10-Home-2-GB-Graphics-80VB00AGIH-Yoga-510-Notebook-14-inch-Black-1-7-kg-
hdd-capacity 1-TB
hardware-interface SATA
color Black
type Notebook
screen-resolution 1920-x-1080-pixel
sales-package Laptop,Battery,Power-Adaptor,User-Guide,Warranty-Documents
cache 3-MB
emmc-storage-capacity NA
screen-type Full-HD-LED-Backlit-Display
usb-port 2-x-USB-3.0,1-x-USB-2.0
graphic-processor AMD-R16M-M1-30
system-architecture 64-bit
ethernet NA
dedicated-graphic-memory-type DDR3
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
warranty-summary 1-Year-Onsite-Warranty
warranty-service-type Onsite
suitable-for Processing-&-Multitasking,Travel-&-Business
processor-name Core-i5
clock-speed 2.5-GHz-with-Turbo-Boost-Upto-3.1-GHz
keyboard Backlit-Keyboard
weight 1.7
dimensions 336-x-235-x-19.3-mm
