bluetooth v4.0
additional-features Li-ion-Battery
ram 4-GB
ssd No
domain Mobile
processor-brand Intel
os-architecture 64-bit
rj45 Yes
id 1046
processor-generation 6th-Gen
hdmi-port 1-x-HDMI-Port
series Yoga-510
internal-mic Built-in-Microphone
web-camera HD-Webcam
mic-in Yes
speakers Dual-Speakers
screen-size 14-inch
touchscreen Yes
operating-system Windows-10-Home
not-covered-in-warranty Physical-Damage
model-number Yoga-510
domestic-warranty 1-Year
processor-variant 6006U
rpm 5400
battery-backup NA
covered-in-warranty Manufacturing-Defects
pointer-device Touchpad
ram-type DDR4
disk-drive Not-Available
sound-properties Audio-by-Harman
wireless-lan IEEE-802.11ac
part-number 80S700DRIH
product-name Lenovo-Yoga-510-Core-i3-6th-Gen-4-GB-1-TB-HDD-Windows-10-Home-80S700DRIH-Yoga-510-2-in-1-Laptop-14-inch-Black-1-73-kg-
hdd-capacity 1-TB
hardware-interface SATA
color Black
type 2-in-1-Laptop
screen-resolution 1920-x-1080-pixel
sales-package Laptop,Battery,Power-Adaptor,User-Guide,Warranty-Documents
cache 3-MB
emmc-storage-capacity NA
screen-type Full-HD-LED-Backlit-Display
usb-port 2-x-USB-3.0,1-x-USB-2.0
graphic-processor Intel-HD-Graphics
system-architecture 64-bit
ethernet Gigabit-Ethernet
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
warranty-summary 1-Year-Onsite-Warranty
warranty-service-type Onsite
suitable-for Processing-&-Multitasking,Travel-&-Business
processor-name Core-i3
clock-speed 2-GHz
keyboard Standard-Keyboard
weight 1.73
dimensions 336-x-232-x-209-mm
