refrigerator-type Top-Freezer-Refrigerator
star-rating 2
net-width 555-mm
built-in-stabilizer Yes
installation-&-demo Standard-installation-and-demo-is-provided-free-of-cost.-After-delivery-of-your-Refrigerator,you-will-receive-a-ticket-number-via-message.-Post-that,you-will-receive-a-call-from-the-authorized-service-engineer-to-schedule-a-mutually-convenient-time-to-provide-demo-and-installation-at-your-doorstep.-Installation-TAT-will-be-2-to-5-business-days-depending-on-the-location.Kindly-contact-us-on-1800-208-9898-for-any-further-queries.
defrosting-type Frost-Free
type Double-Door
number-of-doors 2
toughened-glass Yes
product-name SAMSUNG-253-L-Frost-Free-Double-Door-Refrigerator-RT28K3022VJ-Royal-Tendrill-Violet-2016-
net-depth 637-mm
sales-package 1-Refrigerator,User-Manual-and-Warranty-Card
water-&-ice-dispenser No
number-of-refrigerator-shelves 3
warranty-summary 1-Year-Comprehensive-and-4-Years-on-the-Compressor
other-features Smart-Connect-Inverter
coolpad No
handle-type Recess
compressor-type Digital-Inverter-Compressor
capacity 253-L
shelf-material Toughened-Glass
net-height 1545-mm
ice-cube-tray-type Twist-Ice-Maker
other-convenience-features Easy-Slide-Shelf
domain Refrigerator
weight 52
manufacture-year 2016
water-dispenser No
covered-in-warranty Entire-Unit-for-First-Year-(Manufacturing-Defects)-+-Compressor-for-Additional-4-Years
id 1159
technology-used Digital-Inverter-Technology
