bluetooth v4.0
additional-features Physical-Halo-Keyboard-Appears-Only-when-You-Need-it-with-Familiar-Features-Like-Auto-correct/Complete,Artificial-Learning,and-Haptic-Feedback,Color-Depth:-16.7-Million,Color-Gamut:-70%,Brightness:-400-nits,Create-Pad:-Capacitive-Touch-and-EMR-Pen-Technology,Material:-Magnesium-Aluminum-Alloy,SIM-Type:-Nano-SIM-Card-(Single-SIM-Slot),Sensors:-Vibrator,G-Sensor,Ambient-Light-Sensor,Hall-Sensor,GPS,MicroSD-Supports-Upto-128-GB,8500-mAh-Li-ion-Polymer-Battery,Standby-Time:-Over-70-Days,Connectivity:-Dual-Channel-(2.4-GHz-and-5-GHz)-WiFi,2G-Band---2/3/5/8,3G-WCDMA---1/2/3/4/5/6/8/9/19,3G-TD-SCDMA---34/39,4G-FDD-LTE---1/3/4/7/8/12/20/25,2/5/9/17/18/19,4G-TDD-LTE---38/39/40
ram 4-GB
laptop-bag No
ssd No
domain Mobile
processor-brand Intel
os-architecture 64-bit
weight 0.69
id 1060
hdmi-port Yes
series Yoga-Book
internal-mic Yes
web-camera 2-Megapixel-Fixed-Focus-Front-Camera,8-Megapixel-Auto-Focus-Rear-Camera
mic-in Yes
speakers Yes
screen-size 10.1-inch
covered-in-warranty Manufacturing-Defects
touchscreen Yes
included-software OneNote,Office-Mobile---Word,Office-Mobile---Excel,Office-Mobile---PowerPoint
operating-system Windows-10-Home
not-covered-in-warranty Physical-Damage
model-number yb1-x91l
domestic-warranty 1-Year
processor-variant x5-Z8550
battery-backup Upto-13-hours
ram-frequency 1600-MHz
pointer-device Touchpad,Real-Pen-Stylus-with-Ink
ram-type DDR3
disk-drive Not-Available
sound-properties Dolby-Audio-Premium
wireless-lan IEEE-802.11a/b/g/n/ac
part-number ZA160015IN
product-name Lenovo-Yoga-Book-Atom-Quad-Core-4-GB-64-GB-EMMC-Storage-Windows-10-Home-ZA160015IN-yb1-x91l-2-in-1-Laptop-10-1-inch-Carbon-Black-0-69-kg-
cache 2-MB
type 2-in-1-Laptop
screen-resolution 1920-x-1200-pixel
sales-package 2-in-1-Laptop,Charger,USB-Cable,Real-Pen,Book-Pad,Ink-Cartridge-Refills-(3x),Warranty-Card,Quick-Start-Guide
emmc-storage-capacity 64-GB
supported-operating-system Windows-10
screen-type Full-HD-LED-Backlit-Capacitive-IPS-Touch-Display-with-AnyPen-Technology
usb-port 1-x-USB-Type-C
graphic-processor Intel-HD-Graphics-400
system-architecture 64-bit
color Carbon-Black
multi-card-slot Micro-SD-Card-Reader
warranty-summary 1-year-Carry-in-Service
warranty-service-type Onsite
suitable-for Processing-&-Multitasking,Travel-&-Business
processor-name Atom-Quad-Core
clock-speed 1.44-GHz-with-Turbo-Boost-Upto-2.40-GHz
keyboard Physical-Halo-Keyboard
dimensions 256.6-x-170.8-x-9.6-mm
