power-source AC-Adapter
portable No
domestic-warranty 6-Month
sensitivity 300-dB
bluetooth No
power-input AC-220-~-240V/50/60Hz
domain Speaker
sales-package 2-speakers-II-I-USB-Cable
type Home-Audio-Speaker
model-name IT--313U
color Black
configuration 2.1-Channel
id 1144
signal-to-noise-ratio 55-dB
wired/wireless Wired-&-Wireless
memory-card-slot Yes
product-name Intex-IT-313U-Home-Audio-Speaker-Black-2-1-Channel-
impedance 4-Ω-Satellite
chassis-material Yes,plastic-Chassis
power-output 3Wx2
frequency-response 20Hz-–-20KHz
wall-mountable-satellite No
center-satellite-weight 0.40-kg
