bluetooth v2.1
ram-type DDR3
ram 4-GB
wireless-lan 802.11b/g/n
product-name Lenovo-Yoga-Pentium-Quad-Core-6th-Gen-4-GB-500-GB-HDD-Windows-10-Home-80M1003XIN-LenovoYoga-Notebook-11-inch-Black-
ssd No
domain Mobile
processor-brand Intel
hdd-capacity 500-GB
model-name Yoga
ethernet 10/100
international-warranty 1-Year
id 1072
processor-generation 6th-Gen
type Notebook
os-architecture 64-bit
screen-resolution 1366-X-768-pixel
sales-package 1-Laptop,1-Charger,1-Battery
series Yoga
domestic-warranty 1-Year
graphic-processor NA
web-camera 720-P
color Black
screen-size 11-inch
warranty-summary On-Site-Warranty
touchscreen Yes
warranty-service-type On-Site-Service.-Customer-Needs-To-Call-The-Nearby-Authorized-Service-Center,Service-Engineer-Will-Come-To-The-Site-To-Get-The-Product-Repaired-Or-Inspected.
suitable-for Everyday-Use,Entertainment
supported-operating-system Windows-10
operating-system Windows-10-Home
processor-name Pentium-Quad-Core
model-number LenovoYoga
part-number 80M1003XIN
not-covered-in-warranty Warranty-Does-Not-Cover-Any-External-Accessories-(Such-As-Battery,Cable,Carrying-Bag),Damage-Caused-To-The-Product-Due-To-Improper-Installation-By-Customer,Normal-Wear-And-Tear-To-Magnetic-Heads,Audio,Video,Laser-Pick-Ups-And-Tv-Picture-Tubes,Pane
battery-backup Up-to-5-hours
covered-in-warranty Warranty-Of-The-Product-Is-Limited-To-Manufacturing-Defects-Only
