refrigerator-type Top-Freezer-Refrigerator
egg-tray Yes
door-finish Chrome-Finish
domain Refrigerator
gross-refrigerator-capacity 167-L
built-in-stabilizer Yes
ice-cube-tray-type Twisted-Ice-Maker
type Single-Door
toughened-glass Yes
product-name SAMSUNG-192-L-Direct-Cool-Single-Door-Refrigerator-RR19J20A3SE-TL-Elective-Silver-
number-of-freezer-bottle-racks 2
wheel-support No
gross-freezer-capacity 25-L
number-of-refrigerator-shelves 2
warranty-summary 1-Year-Product-&-10-Years-Reciprocatory-Compressor
weight 30.4
id 1166
coolpad Yes
refrigerator-interior-light Yes
compressor-type Reciprocatory-Compressor
capacity 192-L
shelf-material Wire-Shelf
child-lock No
other-features Crown-Door-Design,Fire-Retardant-Wire,Refrigerator-Interior-Light:-Bulb
other-performance-features Coolpack
water-dispenser No
door-alarm No
freezer-tray-type Ice-Tray
covered-in-warranty All-Parts-Excluding-Plastic-Parts,Glassware,Bulb-and-Tube-from-the-Date-of-Purchase-Against-Defective-Material-and-Workmanship
net-total-capacity 183-L
handle-type Recess
removable-rack Yes
number-of-refrigerator-door-bins 4
freezer-interior-light No
number-of-freezer-shelves 2
cooling-refrigerant R-134a
number-of-doors 1
net-width 532-mm
clock No
stabilizer-required No
sales-package 1-Unit,Warranty-Card
deodorizer No
water-&-ice-dispenser No
gasket-type Anti-Fungal-Gasket
net-depth 564-mm
defrosting-type Direct-Cool
other-power-features Energy-Consumption:-304-kWh
door-lock No
net-height 1209-mm
installation-&-demo This-product-does-not-require-installation.-The-features-of-the-product-are-presented-in-the-user-manual-that-comes-with-it.-Hence,the-manufacturer-does-not-provide-on-site-installation-or-demo-for-the-product.-In-case-of-any-queries-about-the-installation-or-the-features-of-product,kindly-call-us-at-1800-208-9898-or-(080)-49400000-for-assistance.
net-depth-without-handle 564-mm
removable-gasket Yes
star-rating 3
insulation-type Cyclopentane
flexible-rack No
number-of-refrigerator-drawers 1
