refrigerator-type Top-Freezer-Refrigerator
egg-tray Yes
net-depth 634-mm
built-in-stabilizer Yes
installation-&-demo This-product-does-not-require-installation.-The-features-of-the-product-are-presented-in-the-user-manual-that-comes-with-it.-Hence,the-manufacturer-does-not-provide-on-site-installation-or-demo-for-the-product.-In-case-of-any-queries-about-the-installation-or-the-features-of-product,kindly-call-us-at-1800-208-9898-or-(080)-49400000-for-assistance.
star-rating 5
type Single-Door
number-of-doors 1
toughened-glass Yes
product-name LG-190-L-Direct-Cool-Single-Door-Refrigerator-GL-B201ASHI-Scarlet-Heart-2016-
clock No
stabilizer-required No
wheel-support No
not-covered-in-warranty Parts:-Plastic-/-Glassware-/-Bulb-/-Tube.-Any-Accessories-External-to-the-Product.-The-Product-is-not-Used-According-to-the-Instructions-Given-in-the-Instructions-Manual.-Defects-Caused-by-Improper-Use-as-Determined-by-the-Company-Personnel.-Modification-or-Alteration-of-Any-Nature-made-in-the-Electrical-Circuitry-or-Physical-Construction-of-the-Set.-Site-(where-the-Premises-is-Kept)-Conditions-that-do-Not-Confirm-to-the-Recommended-Operating-Conditions-of-the-Machine.-The-Serial-Number-is-Removed,Altered-or-Obliterated-from-the-Machine.-Defects-Due-to-Cause-Beyond-Control-Like-Lightening,Abnormal-Voltage,Acts-of-God-or-While-in-Transit-to-the-Service-Centres-or-Purchasers-Residence.
sales-package 1-Refrigerator,User-Manual-and-Warranty-Card
deodorizer No
water-&-ice-dispenser No
gasket-type Anti-Bacteria-Gasket
number-of-refrigerator-shelves 2
warranty-summary 1-Year-Product-&-10-Years-Compressor-from-LG
child-lock No
weight 42
door-lock Yes
door-alarm No
refrigerator-interior-light Yes
compressor-type Digital-Inverter-Technology-Compressor
capacity 190-L
shelf-material Toughened-Glass
net-height 1170-mm
removable-gasket Yes
defrosting-type Direct-Cool
domain Refrigerator
net-width 537-mm
warranty-service-type On-Site
manufacture-year 2016
water-dispenser No
moisture-control No
coolpad No
covered-in-warranty All-Parts-Excluding-Plastic-Parts,Glassware,Bulb-and-Tube-from-the-Date-of-Purchase-Against-Defective-Material-and-Workmanship
id 1154
temperature-control No
