bluetooth v4.1
additional-features Li-ion-Battery
read/write-speed 8x
ram 4-GB
ssd No
domain Mobile
processor-brand Intel
rj45 Yes
id 1057
processor-generation 6th-Gen
hdmi-port 1-x-HDMI-Port
internal-mic Built-in-Microphone
web-camera 0.3-Megapixel-Webcam
mic-in Yes
speakers Dual-Speakers
screen-size 15.6-inch
touchscreen No
operating-system DOS
not-covered-in-warranty Physical-Damage
model-number Ideapad-110
domestic-warranty 1-Year
processor-variant 6006U
rpm 5400
battery-backup Upto-4-hours
covered-in-warranty Manufacturing-Defects
pointer-device Touchpad
ram-type DDR4
disk-drive CD/DVD-writer
wireless-lan IEEE-802.11ac
part-number 80UD00RWIH
product-name Lenovo-Core-i3-6th-Gen-4-GB-500-GB-HDD-DOS-80UD00RWIH-Ideapad-110-Notebook-15-6-inch-Black-2-2-kg-
hdd-capacity 500-GB
hardware-interface SATA
color Black
type Notebook
screen-resolution 1366-x-768-pixel
sales-package Laptop,Battery,Power-Adaptor,User-Guide,Warranty-Documents
cache 3-MB
emmc-storage-capacity NA
screen-type HD-LED-Backlit-Display
usb-port 1-x-USB-3.0,1-x-USB-2.0
graphic-processor Intel-HD-Graphics
ethernet NA
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
warranty-summary 1-Year-Onsite-Warranty
warranty-service-type Onsite
suitable-for Processing-&-Multitasking
processor-name Core-i3
clock-speed 2-GHz
keyboard Standard-Keyboard
weight 2.2
dimensions 377-x-264-x-229-mm
