secondary-camera 2-megapixel
ram 2-GB
hybrid-sim-slot No
3g-speed 42.2-Mbps-HSDPA;-5.76-Mbps-HSUPA
full-hd-recording Yes
micro-usb-port Yes
display-type Super-AMOLED
battery-capacity 2800-mAh
processor-clock-speed 1.9-GHz
operating-frequency GSM---900,1800;-UMTS---2100
width 0.0725
micro-usb-version 3
otg-compatible Yes
phone-book Yes
network-type 3G
product-name SAMSUNG-Galaxy-S5-Charcoal-Black-16-GB-2-GB-RAM-
secondary-clock-speed 1.3-GHz
frame-rate 30-fps
warranty-summary 1-Year-for-Mobile-&-6-Months-for-Accessories
resolution 1920-x-1080-Pixels
important-apps S-Health,PayPal---Secure-Payments-with-Fingure-Swipe,Google-Mobile-Services---Chrome,Drive,Photos,Gmail,Google,Google,Google-Settings,Hangouts,Maps,Play-Books,Play-Games,Play-Newsstand,Play-Movie-and-TV,Play-Music,Play-Store,Voice-Search,YouTube
touchscreen Yes
primary-camera 16-megapixel
sim-type Single-Sim
expandable-storage 128-GB
removable-battery Yes
flash Yes
primary-camera-features Primary-Camera:-Fast-Auto-Focus,HDR-(Rich-Tone)---For-Brighter-and-Vivid-Captures,Selective-Focus---Treasure-Moments-in-Detailed-Focus,Phase-Detection-AF,Virtual-Tour-Shot,Video-Stabilization,Secondary-Camera:-1920-x-1080,Wide-angle-Lens
operating-system Android-KitKat-4.4.2
fm-radio Yes
secondary-camera-features CMOS
sensors Barometer,Hall-Sensor,Gyro-Sensor,Finger-Print-Sensor,Gesture-Sensor,Heart-Rate-Sensor,Proximity-Sensor,Compass,RGB-Ambient-Light-Sensor,Accelerometer
video-recording-resolution 3840-x-2160
phone-book-memory Yes
nfc Yes
processor-core Octa-Core
wi-fi-version 802.11-a/b/g/n/ac-VHT80,MIMO-(2-x-2)
gps-support Yes
usb-connectivity Yes
wi-fi Yes
other-display-features Automatically-Optimizes-the-Colour-Range,During-Lack-of-Light-Allows-to-Dim-Display-Light-so-that-Eyes-Feel-Comfortable-in-the-Dark,Saturation-and-Sharpness-of-Display,Adapt-Display---Analyses-Incoming-Lights,Local-Contrast-Enhancement
call-log-memory Yes
bluetooth-version 4
other-features Support-Samsung-Gear-Fit-and-Gear-2,Resistant-to-Sweat,Rain,Liquids,Sand-and-Dust,Fingerprint-Security-and-Access,Ultra-Power-Saving-Mode---Innovative-Feature-Changes-Screen-to-Black-and-White-and-Shuts-Down-all-Unnecessary-Features-to-Dramatically-Minimize-Battery-Consumption,Perforated-Pattern,IrLED,Emergency-Mode,Quick-Connect,Private-Mode,Kids-Mode--5th-Generation-Wi-Fi-802.11ac-and-2-x-2-MIMO-Technology-Equip-Galaxy-S5-with-Two-Internal-Wi-Fi-Antennas-to-Double-the-Connection-and-Accelerate-the-Speed-of-Wi-Fi
battery-type Li-Ion
gprs Yes
depth 0.0081
browse-type Smartphones
supported-memory-card-type MicroSD
memory-card-slot-type Dedicated-Slot
sales-package Handset,Travel-Adaptor,Data-Cable,Battery,Stereo-Headset
display-colors 16-M
internal-storage 16-GB
sim-size Micro-SIM
internet-connectivity 3G,Wi-Fi,GPRS,EDGE
domain Mobile
hd-recording Yes
id 1015
audio-formats M4A,3GA,AAC,OGG,XMF,OGA,AMR,MID,MP3,MXMF,WMA,RTTTL,RTX,WAV,AWB,FLAC,MIDI,IMY,OTA
secondary-camera-available Yes
primary-camera-available Yes
video-formats AVI,M4V,MP4,ASF,WMV,MKV,3G2,FLV,3GP,WEBM
audio-jack 3.5-mm
3g Yes
weight 0.145
height 0.142
video-recording Yes
display-size 5.1-inch
color Charcoal-Black
model-name Galaxy-S5
internal-memory 16
edge Yes
bluetooth-support Yes
map-support Google-Maps
smartphone Yes
model-number SM-G900HZKAINS/-SM-G900HZKAINU
resolution-type Full-HD
sms Yes
sms-memory Yes
processor-type Exynos-5422
