bluetooth v4.1
additional-features Li-ion-Battery
read/write-speed 8x
ram 8-GB
laptop-bag No
ssd No
domain Mobile
processor-brand Intel
model-name Ideapad
rj45 Yes
id 1044
processor-generation 6th-Gen
hdmi-port 1-x-HDMI-Port
series 310
internal-mic Single-Microphone
web-camera HD-Webcam
mic-in Yes
speakers Dual-Speakers
screen-size 15.6-inch
dedicated-graphic-memory-capacity 2-GB
touchscreen No
operating-system DOS
not-covered-in-warranty Physical-Damage
model-number IP-310
domestic-warranty 1-Year
processor-variant 6200U
rpm 5400
battery-backup Upto-5-hours
covered-in-warranty Manufacturing-Defects
pointer-device Touchpad
ram-type DDR4
disk-drive CD/DVD-writer
sound-properties 2-x-Stereo-Speakers-with-Dolby-Audio
wireless-lan IEEE-802.11ac
part-number 80SM01EEIH
product-name Lenovo-310-Core-i5-6th-Gen-8-GB-1-TB-HDD-DOS-2-GB-Graphics-80SM01EEIH-IP-310-Notebook-15-6-inch-Black-2-2-kg-
hdd-capacity 1-TB
hardware-interface SATA
expandable-memory Upto-12-GB
type Notebook
screen-resolution 1366-x-768-pixel
sales-package Laptop,Battery,Power-Adaptor,User-Guide
cache 3-MB
supported-operating-system DOS
screen-type HD-LED-Backlit-TN-Glare-Slim-Display
usb-port 1-x-USB-3.0,2-x-USB-2.0
graphic-processor NVIDIA-GeForce-N16V-GMR1
color Black
dedicated-graphic-memory-type DDR3
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
warranty-summary 1-Year-Onsite-Warranty
ethernet 10/100/1000-Mbps
warranty-service-type Onsite
suitable-for Performance,Everyday-Use
processor-name Core-i5
clock-speed 2.3-GHz-with-Turbo-Boost-Upto-2.8-GHz
keyboard Standard-Keyboard-with-Numeric-Keypad
weight 2.2
dimensions 379-x-260-x-22.9-mm
