style-code ASQF0861Navy
placket Button-Down-Placket
fit Slim
sleeve Half-Sleeve
model-details This-model-has-a-Height-of-6-feet-1-inches-and-is-wearing-a-of-Size-39
id 1309
product-name Arrow-Men-s-Solid-Formal-Dark-Blue-Shirt
hem Curved-Hem
pockets 1-Patch-Pocket-on-Chest
domain Shirt
pattern Solid
reversible No
collar Spread-Collar
fabric-care Dry-Clean
closure Button
pack-of 1
fabric Polyster-Silk-Blend
