bluetooth v4.0
additional-features Li-ion-Battery
read/write-speed 8x
ram 8-GB
disk-drive CD/DVD-writer
wireless-lan IEEE-802.11ac
processor-brand Intel
ssd No
domain Mobile
product-name Lenovo-Core-i7-6th-Gen-8-GB-1-TB-HDD-DOS-2-GB-Graphics-80SM01HVIH-Ideapad-310-Notebook-15-6-inch-Black-
screen-size 15.6-inch
hdd-capacity 1-TB
ethernet 10/100/1000-Mbps
id 1058
processor-generation 6th-Gen
type Notebook
screen-resolution 1366-x-768-pixel
sales-package Laptop,Battery,Power-Adaptor,User-Guide,Warranty-Documents,USB-Ethernet-Adapter
domestic-warranty 1-Year
internal-mic Built-in-Microphone
graphic-processor NVIDIA-GeForce-N16V-GMR1
web-camera 0.3-Megapixel-Webcam
color Black
speakers Dual-Speakers
emmc-storage-capacity NA
dedicated-graphic-memory-capacity 2-GB
warranty-summary 1-Year-Onsite-Warranty
touchscreen No
warranty-service-type Onsite
suitable-for Processing-&-Multitasking,Travel-&-Business
operating-system DOS
processor-name Core-i7
model-number Ideapad-310
clock-speed 2.3-GHz
part-number 80SM01HVIH
keyboard Standard-Keyboard
not-covered-in-warranty Physical-Damage
battery-backup Upto-5-hours
covered-in-warranty Manufacturing-Defects
pointer-device Touchpad
