bluetooth v4.0
read/write-speed 8x
ram 8-GB
ssd No
domain Mobile
processor-brand Intel
os-architecture 64-bit
rj45 Yes
id 1052
processor-generation 5th-Gen
hdmi-port Yes
series G50-80
web-camera HD-Webcam
mic-in Yes
speakers 2-x-1.5-W-stereo-Speakers
screen-size 15.6-inch
dedicated-graphic-memory-capacity 2-GB
touchscreen No
operating-system Windows-10-Home
model-number G50-80
processor-variant 5200U
rpm 5400
battery-backup Upto-4-hours
ram-frequency 1600-MHz
pointer-device Touchpad-with-Multi-touch-Gesture-Support
vga-port Yes
ram-type DDR3
disk-drive CD/DVD-writer
sound-properties Dolby-Advanced-Audio
wireless-lan Intel-3160-1x1-AC
part-number 80E5038PIN
product-name Lenovo-G50-80-Core-i5-5th-Gen-8-GB-1-TB-HDD-Windows-10-Home-2-GB-Graphics-80E5038PIN-G50-80-Notebook-15-6-inch-Black-2-5-kg-
hdd-capacity 1-TB
hardware-interface SATA
power-supply 65-W-AC-Adapter-(Li-Ion-Battery)
type Notebook
screen-resolution 1366-x-768-pixel
sales-package Laptop,Battery,AC-Adapter,User-Guide-and-Manuals
cache 3-MB
supported-operating-system Windows-10(64-bit),Windows-7,Windows-8(64bit),Windows-8.1(64bit)
screen-type Glossy-Layer-HD-LED-Display
usb-port 1-x-USB-3.0,2-x-USB-2.0
graphic-processor ATI-EXO-PRO-R5-M330
system-architecture 64-bit
color Black
dedicated-graphic-memory-type DDR3
multi-card-slot 2-in-1-Card-Reader
battery-cell 4-cell
warranty-summary 1-Year-Onsite-Warranty
suitable-for Processing-&-Multitasking,Entertainment
processor-name Core-i5
expandable-memory Upto-16-GB
memory-slots 2-DIMM-Slots
clock-speed 2.2-GHz-with-Turbo-Boost-Upto-2.7-GHz
keyboard AccuType-Keyboard
weight 2.5
dimensions 384-x-265-x-25-mm
