bluetooth v4.0
additional-features Li-ion-Battery
ram 4-GB
ssd No
domain Mobile
processor-brand Intel
weight 2.3
id 1047
processor-generation 5th-Gen
series Ideapad-100
internal-mic Single-Microphone
web-camera 0.3-Megapixel-Webcam
mic-in Yes
speakers Yes
screen-size 15.6-inch
dedicated-graphic-memory-capacity 2-GB
touchscreen No
operating-system DOS
not-covered-in-warranty Physical-Damage
model-number 100
domestic-warranty 1-Year
processor-variant 5005U
rpm 5400
battery-backup Upto-5-hours
covered-in-warranty Manufacturing-Defects
pointer-device Touchpad
ram-type DDR3
disk-drive Not-Available
sound-properties 1-x-1.5-W-Speaker
wireless-lan IEEE-802.11b/g/n
part-number 80QQ019NIH
product-name Lenovo-Ideapad-100-Core-i3-5th-Gen-4-GB-1-TB-HDD-DOS-2-GB-Graphics-80QQ019NIH-100-Notebook-15-6-inch-Black-2-3-kg-
hdd-capacity 1-TB
hardware-interface SATA
color Black
type Notebook
screen-resolution 1366-x-768-pixel
sales-package Laptop,Battery,Power-Adaptor,User-Guide,Warranty-Documents
cache 3-MB
emmc-storage-capacity NA
supported-operating-system DOS
screen-type HD-LED-Backlit-Display
usb-port 1-x-USB-3.0,1-x-USB-2.0
graphic-processor AMD-N16V-GM
ethernet NA
dedicated-graphic-memory-type DDR3
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
warranty-summary 1-Year-Onsite-Warranty
warranty-service-type Onsite
suitable-for Processing-&-Multitasking
processor-name Core-i3
clock-speed 2-GHz
keyboard Standard-Keyboard
dimensions 378-x-265-x-229-mm
