bluetooth v4.0
ram 4-GB
ssd No
domain Mobile
processor-brand Intel
model-name Ideapad-100
weight 1.6
id 1053
processor-generation 4th-Gen
hdmi-port Yes
series Ideapad-100
internal-mic Single-Microphone
web-camera 0.3-Megapixel-Webcam
mic-in Yes
speakers 1-x-1.5-W-Speaker
screen-size 14-inch
touchscreen No
operating-system DOS
model-number IP-110-14IBR
processor-variant N3710
battery-backup Upto-4-hours
ram-frequency 1333-MHz
pointer-device Touchpad
disk-drive Not-Available
sound-properties 1/8-inch-Stereo-Audio-Port
wireless-lan Non-Intel-1x1-BGN
part-number 80T6003WIH
product-name Lenovo-Ideapad-100-Pentium-Quad-Core-4th-Gen-4-GB-500-GB-HDD-DOS-80T6003WIH-IP-110-14IBR-Notebook-14-inch-Black-1-6-kg-
hdd-capacity 500-GB
power-supply 45-W-AC-Adapter
type Notebook
lock-port Kensington-Lock-Slot
screen-resolution 1366-x-768-pixel
sales-package Laptop,Battery,Power-Adapter,User-Guide
cache 2-MB
supported-operating-system Windows-10(64-bit),Windows-7(64bit)
screen-type HD-LED-Backlit-TN-Glare-Flat-Display
usb-port 1-x-USB-2.0,1-x-USB-3.0
graphic-processor Intel-HD-Graphics
color Black
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
battery-cell 2-cell
warranty-summary 1-Year-Onsite-Warranty
suitable-for Everyday-Use
processor-name Pentium-Quad-Core
clock-speed 1.60-GHz-with-Turbo-Boost-Upto-2.56GHz
keyboard Standard-Keyboard
dimensions 340-x-237.8-x-20.2-mm
