refrigerator-type Top-Freezer-Refrigerator
egg-tray Yes
net-width 533-mm
gross-refrigerator-capacity 167-L
built-in-stabilizer Yes
installation-&-demo This-product-does-not-require-installation.-The-features-of-the-product-are-presented-in-the-user-manual-that-comes-with-it.-Hence,the-manufacturer-does-not-provide-on-site-installation-or-demo-for-the-product.-In-case-of-any-queries-about-the-installation-or-the-features-of-product,kindly-call-us-at-1800-208-9898-or-(080)-49400000-for-assistance.
star-rating 4
type Single-Door
number-of-doors 1
toughened-glass Yes
product-name SAMSUNG-192-L-Direct-Cool-Single-Door-Refrigerator-RR19J2104SE-TL-Elective-Silver-
stabilizer-required No
net-depth 605-mm
sales-package 1-Refrigerator,User-Manual-and-Warranty-Card
gross-freezer-capacity 25-L
water-&-ice-dispenser No
gasket-type Anti-Fungal-Gasket
number-of-refrigerator-shelves 3
other-dimensions Net-Case-Height-with-Hinge:-1209-mm,Net-Case-Height-without-Hinge:-1167-mm,Net-Depth-with-Door-Handle:-564-mm,Net-Depth-without-Door:-474-mm
weight 41
door-lock Yes
coolpad No
handle-type Bar-(Chrome)
compressor-type Reciprocating-Compressor
capacity 192-L
shelf-material Toughened-Glass
ice-cube-tray-type Ice-Maker
net-total-capacity 183-L
defrosting-type Direct-Cool
other-convenience-features 16.5-L-Vegetable-Box,Door-Pocket:-4
domain Refrigerator
insulation-type Cyclopentane
net-height 1178-mm
water-dispenser No
net-depth-without-handle 564-mm
freezer-tray-type Ice-Tray
warranty-summary 1-Year-Comprehensive-and-5-Years-on-the-Compressor
id 1168
refrigerator-interior-light Yes
other-features Big-Bottle-Guard
cooling-refrigerant R---134a
covered-in-warranty All-Parts-Excluding-Plastic-Parts,Glassware,Bulb-and-Tube-from-the-Date-of-Purchase-Against-Defective-Material-and-Workmanship
other-performance-features Cooling-Retention-(Cool-Pack):-6-hrs
