bluetooth v4.1
additional-features Li-ion-Battery
read/write-speed 8x
ram 8-GB
laptop-bag No
ssd No
domain Mobile
processor-brand Intel
model-name Ideapad
os-architecture 64-bit
rj45 Yes
id 1066
processor-generation 7th-Gen
hdmi-port 1-x-HDMI-Port
internal-mic Dual-Array-Microphones
web-camera HD-Webcam
mic-in Yes
speakers 2-x-Speakers
screen-size 15.6-inch
dedicated-graphic-memory-capacity 4-GB
covered-in-warranty Manufacturing-Defects
touchscreen No
operating-system Windows-10-Home
not-covered-in-warranty Physical-Damage
model-number 510
domestic-warranty 1-Year
processor-variant 7500U
rpm 5400
battery-backup Upto-5-hours
ram-frequency 2133-MHz
pointer-device Touchpad
ram-type DDR4
disk-drive CD/DVD-writer
sound-properties Harman-Audio-Certified-Speakers
wireless-lan IEEE-802.11ac
part-number 80SV00FFIH
product-name Lenovo-Core-i7-7th-Gen-8-GB-2-TB-HDD-Windows-10-Home-4-GB-Graphics-80SV00FFIH-510-Notebook-15-6-inch-Silver-2-2-kg-
hdd-capacity 2-TB
hardware-interface SATA
expandable-memory 8-GB
type Notebook
screen-resolution 1920-x-1080-pixel
sales-package Laptop,Battery,Power-Adaptor,User-Guide
cache 4-MB
supported-operating-system Windows-10
screen-type Full-HD-LED-Backlit-Anti-glare-IPS-Slim-Display
usb-port 2-x-USB-3.0,1-x-USB-2.0
graphic-processor nVidia-Geforce-N16S-GTR
system-architecture 64-bit
color Silver
dedicated-graphic-memory-type DDR3
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
battery-cell 2-cell
warranty-summary 1-Year-Onsite-Warranty
ethernet 10/100/1000-Mbps
warranty-service-type Onsite
suitable-for Gaming
processor-name Core-i7
memory-slots 1-Slot
clock-speed 2.7-GHz-with-Turbo-Boost-Upto-3.5-GHz
keyboard Standard-Keyboard-without-Numeric-Keypad
weight 2.2
dimensions 379-x-260-x-22.9-mm
