power-source AC-Adapter
memory-card-slot Yes
memory-card-supported SD,Micro-SD
built-in-fm-radio Yes
sensitivity 500-mV
bluetooth 2.1
power-input 140---280V/50Hz
warranty-summary 1-Year-Intex-Manufacturer-Warranty
maximum-output-rms-per-satellite 10-W
other-features Net-Weight:-3-kg,Bass-Up-/-Down:-15dB
sales-package 2-Speakers,1-SubWoofer
type Home-Audio-Speaker
driver-type 1-Subwoofer,2-Satellites
separation Greater-than-35-dB
maximum-output-rms-subwoofer 15-W
controls Volume,Play,Pause,Next,Previous,Mode
remote-control-support Yes
connector-type RCA-Jack
model-name IT-170-SUF-Bluetooth
color Black
compatible-devices Mobile,Computer,DVD,PC,LCD-TV
outdoor-usage No
configuration 2.1-Channel
id 1143
signal-to-noise-ratio 55-dB
wired/wireless Wired
subwoofer 1
product-name Intex-IT-170-SUF-Bluetooth-Bluetooth-Home-Audio-Speaker-Black-2-1-Channel-
impedance Main-Unit:8-and-Satellite-:4
other-audio-features Impedance:-(Main-Unit:-8-Ohm,Satellite:-4-Ohm),FM-Frequency-Receiver:-88-MHz---108-MHz
domain Speaker
chassis-material Wood-(Subwoofer)-and-Plastic-(Satellite)-Chassis
power-output 35
frequency-response Main-Unit:-20-Hz---200-Hz,Satellite:-200-Hz---20-KHz
warranty-service-type Customer-Need-to-Contact-Nearest-Service-Center
