browse-type Smartphones
bluetooth-support Yes
width 0.0586
display-size 4-inch
product-name Apple-IPhone-5-Black-64-GB-
model-name IPhone-5
sms-memory Yes
sim-type Single-Sim
battery-capacity 1440-mAh
operating-frequency GSM---850,900,1800,1900;-UMTS---2100
secondary-camera-available Yes
video-recording Yes
warranty-summary 1-Year-Manufacturer-Warranty
video-formats MP4,MOV,H.264,M4V
other-features Multiple-Languages-Support,Video-Stabilisation,Video-Geo-tagging--System-Requirements,Keyboard-Support,Dictionary-Support,Lightning-to-30-pin-Adapter,AirPrint
hd-recording Yes
video-recording-resolution 1920-x-1080
flash LED
primary-camera-available Yes
secondary-camera 1.2-megapixel
phone-book-memory Yes
sensors Accelerometer,Proximity-Sensor,Digital-Compass,Ambient-Light-Sensor,Three-axis-Gyro-Sensor
battery-type Li-Ion
internal-storage 64-GB
network-type 3G
id 1246
height 0.1238
nfc No
supported-networks GSM
depth 0.0076
touchscreen-type Capacitive
edge Yes
other-display-features Finger-Print-Resistant,Mercury-free-LED-backlit-Display,Oleophobic-Coating-on-Front,Retina-Display,Multi-touch,Arsenic-free-Display-Glass
smartphone Yes
color Black
primary-camera 8-megapixel
frame-rate 30-fps
3g Yes
operating-system iOS-6
call-log-memory Yes
full-hd-recording Yes
weight 0.112
wi-fi-version 802.11-a/b/g/n
resolution-type Retina-Display
map-support Google-Maps
secondary-camera-features HD-Video-Upto-30-Frames-per-Second
usb-connectivity Yes
domain Mobile
bluetooth-version 4
wi-fi Yes
audio-formats WAV,MP3
gps-support Yes
resolution 1136-x-640-Pixels
primary-camera-features Panorama,Face-Detection,Geo-tagging,Tap-to-Focus,Auto-Focus,iSight-Camera
internet-connectivity Wi-Fi,EDGE,3G
important-apps iCloud,Built-in-Apps,iTunes-Store
audio-jack 3.5-mm
