bluetooth v4.0
read/write-speed 8x
ram 4-GB
ssd No
domain Mobile
processor-brand Intel
model-name Ideapad
rj45 Yes
id 1071
processor-generation 5th-Gen
hdmi-port Yes
series Ideapad-100
internal-mic Yes
web-camera 0.3-Megapixel-Webcam
speakers Single-Speaker
screen-size 15.6-inch
covered-in-warranty Warranty-of-the-product-is-limited-to-manufacturing-defects-only
touchscreen No
operating-system DOS
not-covered-in-warranty Warranty-does-not-cover-any-external-accessories-(such-as-battery,cable,carrying-bag),damage-caused-to-the-product-due-to-improper-installation-by-customer,normal-wear-and-tear-to-magnetic-heads,audio,video,laser-pick-ups-and-TV-picture-tubes,pane
model-number IP-100--15IBD
processor-variant 5005U
rpm 5400
battery-backup Upto-3-hours
ram-frequency 1600-MHz
pointer-device Touchpad
ram-type DDR3
disk-drive CD/DVD-writer
sound-properties 1-x-1.5-W-Speaker
wireless-lan IEEE-802.11b/g/n
part-number 80QQ001XIH
product-name Lenovo-Ideapad-100-Core-i3-5th-Gen-4-GB-500-GB-HDD-DOS-80QQ001XIH-IP-100-15IBD-Notebook-15-6-inch-Black-1-9-kg-
hdd-capacity 500-GB
hardware-interface SATA
expandable-memory Upto-4-GB
type Notebook
lock-port Kensington-Lock-Slot
screen-resolution 1366-X-768-pixel
sales-package Laptop,Battery,Adapter
cache 3-MB
supported-operating-system Windows-10(64-bit),Windows-7(64bit),Windows-8(64bit)
screen-type HD-LED-Backlit-Display
usb-port 1-x-USB-3.0,1-x-USB-2.0
graphic-processor Intel-HD-Graphics
color Black
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
battery-cell 4-cell
warranty-summary 1-Year-On-Site-Warranty
ethernet 10/100-Ethernet-LAN
warranty-service-type On-site-Service.-Customer-needs-to-call-the-nearby-Authorized-Service-Center,service-engineer-will-come-to-the-site-to-get-the-product-repaired-or-inspected.
suitable-for Processing-&-Multitasking
processor-name Core-i3
memory-slots 1-Slot
clock-speed 2-GHz
keyboard Standard-Keyboard
weight 1.9
