bluetooth v4.0
ram 8-GB
ssd No
domain Mobile
processor-brand AMD
os-architecture 64-bit
weight 2.5
id 1076
processor-generation 6th-Gen
hdmi-port Yes
web-camera HD-Webcam
mic-in Yes
speakers Yes
screen-size 15.6-inch
dedicated-graphic-memory-capacity 2-GB
touchscreen No
operating-system Windows-8.1
model-number G50-45
processor-variant A8-6410
rpm 5400
battery-backup Upto-5-hours
ram-frequency 1600-MHz
pointer-device Touchpad
ram-type DDR3
disk-drive CD/DVD-writer
sound-properties 2-x-1.5-W-Speakers
wireless-lan Non-Intel-1x1-BGN
part-number 80E300FSIN
product-name Lenovo-APU-Quad-Core-A8-6th-Gen-8-GB-1-TB-HDD-Windows-8-1-2-GB-Graphics-80E300FSIN-G50-45-Notebook-15-6-inch-Silver-2-5-kg-
hdd-capacity 1-TB
hardware-interface SATA
power-supply 65-W-AC-Adapter
type Notebook
screen-resolution 1366-X-768-pixel
sales-package Laptop,Battery,AC-Adapter
screen-type HD-TN-GL-Flat-Display
usb-port 1-x-USB-3.0,2-x-USB-2.0
graphic-processor Ati-Jet-Le-R5-M230
color Silver
dedicated-graphic-memory-type DDR3
multi-card-slot 2-in-1-Card-Reader
battery-cell 4-cell
warranty-summary Please-Register-your-Warranty:-http://support.lenovo.com/us/en/contactus/basewarrantyregistration,1-Year-Warranty-Warranty-to-be-Registered-within-30-Days-from-the-Date-of-Purchase
suitable-for Everyday-Use
processor-name APU-Quad-Core-A8
expandable-memory Upto-16-GB
memory-slots 2-(Unused-Slot---1)
clock-speed 2.0-GHz
keyboard Standard-Keyboard
dimensions 384-x-265-x-25-mm
