refrigerator-type Top-Freezer-Refrigerator
egg-tray Yes
other-dimensions Net-Case-Height-with-Hinge:-1635-mm,Net-Case-Height-without-Hinge:-1635-mm,Net-Depth-with-Door-Handle:-672-mm,Net-Depth-without-Door:-580-mm
gross-refrigerator-capacity 233-L
built-in-stabilizer Yes
defrosting-type Frost-Free
type Double-Door
toughened-glass Yes
product-name SAMSUNG-321-L-Frost-Free-Double-Door-Refrigerator-RT34K3723BS-HL-Black-Inox-
net-depth-without-handle 672-mm
gross-freezer-capacity 88-L
number-of-refrigerator-shelves 1
warranty-summary 10-Yrs-Digital-Inverter-Compressor-&-1-Yr-Unit
other-features Smart-Connect-Inverter-(Automatic),LED-Light,Display-and-Control-(Fridge-and-Freezer):-LED-Convertible-Display
door-alarm Yes
refrigerator-interior-light Yes
compressor-type Digital-Inverter-Compressor
capacity 321-L
shelf-material Toughened-Glass
other-performance-features Humidity-Control-(Drawer-Only),Cooling-Even-at-55°
water-dispenser No
moisture-control Yes
coolpad Yes
covered-in-warranty All-Parts-Excluding-Plastic-Parts,Glassware,Bulb-and-Tube-from-the-Date-of-Purchase-Against-Defective-Material-and-Workmanship
net-total-capacity 302-L
handle-type Recess
insulation-type Cyclopentane-Insulation
number-of-refrigerator-door-bins 4
air-flow-type Multi-Flow
number-of-freezer-shelves 1
cooling-refrigerant R-600a
number-of-doors 2
net-width 600-mm
stabilizer-required No
sales-package 1-Refrigerator,User-Manual-and-Warranty-Card
water-&-ice-dispenser No
id 1160
net-depth 672-mm
net-height 1635-mm
installation-&-demo Standard-installation-and-demo-is-provided-free-of-cost.-After-delivery-of-your-Refrigerator,you-will-receive-a-ticket-number-via-message.-Post-that,you-will-receive-a-call-from-the-authorized-service-engineer-to-schedule-a-mutually-convenient-time-to-provide-demo-and-installation-at-your-doorstep.-Installation-TAT-will-be-2-to-5-business-days-depending-on-the-location.Kindly-contact-us-on-1800-208-9898-for-any-further-queries.
star-rating 3
other-convenience-features Convertible-Freezer,Easy-Slide-Shelf,Big-Bottle-Guard,Vegetable-and-Fruit-Refrigerator-Drawer,Refrigerator-Interior-Light:-LED,Big-Guards
domain Refrigerator
weight 59
number-of-freezer-door-bins 2
number-of-refrigerator-drawers 1
display-type LED-Convertible-Display
technology-used Digital-Inverter-Technology,Dual-Fan-Technology
