bluetooth v4.0
additional-features RAM-Type---DDR3,180-Degree-Hinge,Latest-AMD-Carrizo-L-Processor
read/write-speed 8x
ram 8-GB
ssd No
domain Mobile
processor-brand AMD
model-name Ideapad
weight 2.2
id 1050
processor-generation 6th-Gen
hdmi-port Yes
series Ideapad-100
internal-mic Yes
web-camera 0.3-Megapixel-Webcam
speakers Yes
screen-size 15.6-inch
dedicated-graphic-memory-capacity 2-GB
touchscreen No
operating-system DOS
model-number 110-15ACL
processor-variant A8-7410
rpm 5400
battery-backup Upto-4-hours
ram-frequency 1600-MHz
pointer-device Touchpad
disk-drive CD/DVD-writer
sound-properties 1-x-1.5-W-Speaker
wireless-lan IEEE-802.11ac
part-number 80TJ00BNIH
product-name Lenovo-Ideapad-100-APU-Quad-Core-A8-6th-Gen-8-GB-1-TB-HDD-DOS-2-GB-Graphics-80TJ00BNIH-110-15ACL-Notebook-15-6-inch-Black-Texture-2-2-kg-
hdd-capacity 1-TB
expandable-memory Upto-8-GB
type Notebook
screen-resolution 1366-x-768-pixel
sales-package Notebook,Battery,Power-Adapter
cache 2-MB
screen-type HD-LED-Backlit-TN-Glare-Slim-Display
usb-port 1-x-USB-3.0,1-x-USB-2.0
graphic-processor AMD-R16M-M1-30
color Black-Texture
dedicated-graphic-memory-type DDR3
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
warranty-summary 1-Year-Onsite-Warranty
suitable-for Everyday-Use
processor-name APU-Quad-Core-A8
memory-slots 1-Slot
clock-speed 2.2Ghz
keyboard Standard-Keyboard
dimensions 378-x-265-x-22.9-mm
