bluetooth v4.0
additional-features 180-Degree-Hinge,Latest-AMD-Carrizo-L-Processor
read/write-speed 8x
ram 4-GB
ssd No
domain Mobile
processor-brand AMD
model-name Ideapad
os-architecture 64-bit
weight 2.2
id 1051
processor-generation 6th-Gen
hdmi-port Yes
series Ideapad-110
internal-mic Yes
web-camera 0.3-Megapixel-Webcam
mic-in Yes
speakers Yes
screen-size 15.6-inch
touchscreen No
included-software Lenovo-OneKey-Recovery,Lenovo-SHAREit
operating-system Windows-10-Home
model-number IP110-15ACL
processor-variant A6-7310
rpm 5400
battery-backup Upto-4-hours
ram-frequency 1600-MHz
pointer-device Touchpad
ram-type DDR3
disk-drive CD/DVD-writer
sound-properties 1-x-1.5-W-Speaker
wireless-lan IEEE-802.11ac
part-number 80TJ00D2IH
product-name Lenovo-Ideapad-110-APU-Quad-Core-A6-6th-Gen-4-GB-500-GB-HDD-Windows-10-Home-80TJ00D2IH-IP110-15ACL-Notebook-15-6-inch-Black-2-2-kg-
hdd-capacity 500-GB
expandable-memory Upto-4-GB
type Notebook
screen-resolution 1366-x-768-pixel
sales-package Laptop,Battery,Adapter
cache 2-MB
supported-operating-system Windows-10
screen-type HD-LED-Backlit-TN-Glare-Slim-Display
usb-port 1-x-USB-3.0,1-x-USB-2.0
graphic-processor AMD-Radeon-R4-Graphics
system-architecture 64-bit
color Black
multi-card-slot 4-in-1-Card-Reader-(SD,SDHC,SDXC,MMC)
warranty-summary 1-Year-Onsite-Warranty
suitable-for Everyday-Use
processor-name APU-Quad-Core-A6
memory-slots 1-Slot
clock-speed 2-GHz-turbo-boost-up-to-2.4-GHz
keyboard Standard-Keyboard
dimensions 378-x-265-x-22.9-mm
