bluetooth v4.0
read/write-speed 8x
ram 4-GB
ssd No
domain Mobile
processor-brand AMD
os-architecture 64-bit
rj45 Yes
id 1045
processor-generation 6th-Gen
hdmi-port 1-x-HDMI-Port
series G
internal-mic Analog-Microphone
web-camera 0.3-Megapixel-Webcam
mic-in Yes
speakers Yes
screen-size 15.6-inch
dedicated-graphic-memory-capacity 2-GB
covered-in-warranty Blank
touchscreen No
emmc-storage-capacity NA
not-covered-in-warranty Blank
model-number G50-45
domestic-warranty 1-Year
processor-variant A8-6410
rpm 5400
battery-backup Upto-4-hours
ram-frequency 1600-MHz
pointer-device Touchpad
ram-type DDR3
disk-drive CD/DVD-writer
sound-properties 2-x-1.5-W-Speakers,Dolby-Advanced-Audio-v2
wireless-lan IEEE-802.11a/b/c/g/n
part-number 80E3023KIH
product-name Lenovo-G-APU-Quad-Core-A8-6th-Gen-4-GB-1-TB-HDD-Windows-10-Home-2-GB-Graphics-80E3023KIH-G50-45-Notebook-15-6-inch-Black-2-5-kg-
s-video Yes
hdd-capacity 1-TB
hardware-interface SATA
power-supply 45-W-AC-Adapter
type Notebook
screen-resolution 1366-X-768-pixel
sales-package Laptop,Battery,45-W-3-Pin-AC-Power-Adapter,User-Guide
cache 2-MB
supported-operating-system Blank
screen-type HD-TN-GL-FLAT-Display
usb-port 2-x-USB-2.0,1-x-USB-3.0
graphic-processor AMD-Radeon-R5-M330
system-architecture 64-Bit
color Black
dedicated-graphic-memory-type DDR3
multi-card-slot 2-in-1-Card-Reader
battery-cell 4-cell
warranty-summary 1-Year-Onsite-Warranty
ethernet 10/100-Mbps
warranty-service-type Blank
suitable-for Everyday-Use
processor-name APU-Quad-Core-A8
expandable-memory Upto-16-GB
memory-slots 2-Slots
operating-system Windows-10-Home
clock-speed 2-GHz-with-Turbo-Frequency-Upto-2.4-GHz
keyboard Standard-Keyboard-with-Dedicated-Numeric-Pad
weight 2.5
finger-print-sensor No
dimensions 384-x-265-x-25-mm
