bluetooth v4.0
read/write-speed 8x
ram 4-GB
ssd No
domain Mobile
processor-brand Intel
rj45 Yes
id 1054
processor-generation 5th-Gen
hdmi-port Yes
series G50-80
web-camera 0.3-Megapixel-Webcam
mic-in Yes
speakers Yes
screen-size 15.6-inch
dedicated-graphic-memory-capacity 2-GB
touchscreen No
operating-system DOS
model-number G50-80
processor-variant 5005U
rpm 5400
battery-backup Upto-4-hours
pointer-device Touchpad-with-Multi-touch-Gesture-Support
vga-port Yes
ram-type DDR3
disk-drive CD/DVD-writer
sound-properties Stereo-with-Dolby-Advanced-Audio,2-x-1.5-W-Speakers
wireless-lan IEEE-802.11b/g/n
part-number 80E502Q3IH
product-name Lenovo-G50-80-Core-i3-5th-Gen-4-GB-1-TB-HDD-DOS-2-GB-Graphics-80E502Q3IH-G50-80-Notebook-15-6-inch-Black-2-5-kg-
hdd-capacity 1-TB
hardware-interface SATA
power-supply 45-W-AC-Adapter
type Notebook
sales-package Laptop,�AC-Adapter,User-Guide-and-Manual
cache 3-MB
screen-type HD-TN-Glare-Flat-Display
usb-port 1-x-USB-3.0,2-x-USB-2.0
graphic-processor ATI-EXO-PRO-R5-M330
color Black
dedicated-graphic-memory-type DDR3
multi-card-slot 2-in-1-Card-Reader
battery-cell 4-cell
warranty-summary 1-Year-Onsite-Warranty
ethernet 100/1000BASE-T
suitable-for Processing-&-Multitasking
processor-name Core-i3
expandable-memory Upto-16-GB
memory-slots 2-Slots
clock-speed 2-GHz
keyboard AccuType-Keyboard
weight 2.5
dimensions 384-x-265-x-25-mm
