bluetooth v4.0
read/write-speed 8x
ram 8-GB
ssd No
domain Mobile
processor-brand Intel
os-architecture 64-bit
weight 2.5
id 1064
processor-generation 5th-Gen
hdmi-port Yes
series G50-80
internal-mic Yes
web-camera HD-Webcam
mic-in Yes
speakers Yes
screen-size 15.6-inch
dedicated-graphic-memory-capacity 2-GB
touchscreen No
operating-system Windows-10-Home
model-number G50-80
processor-variant 5005U
rpm 5400
battery-backup Upto-4-hours
ram-frequency 1600-MHz
pointer-device Touchpad
disk-drive CD/DVD-writer
sound-properties 2-x-1.5-W-Speakers,1/8-inch-Stereo-Audio-Port
wireless-lan Intel-3160-1X1-AC
part-number 80E503FFIH
product-name Lenovo-G50-80-Core-i3-5th-Gen-8-GB-1-TB-HDD-Windows-10-Home-2-GB-Graphics-80E503FFIH-G50-80-Notebook-15-6-inch-Black-2-5-kg-
hdd-capacity 1-TB
power-supply 65-W-AC-Adapter
type Notebook
screen-resolution 1366-x-768-pixel
sales-package Laptop,Battery,Adapter
cache 3-MB
supported-operating-system Windows-10(64-bit),Windows-7,Windows-8.1(64bit),Windows-8(64bit)
screen-type HD-LED-Backlit-TN-Flat-Glare-Display
usb-port 1-x-USB-3.0,2-x-USB-2.0
graphic-processor AMD-Radeon-R5-M330
system-architecture 64-bit
color Black
dedicated-graphic-memory-type DDR3
multi-card-slot 2-in-1-Card-Reader-(SD,MMC)
battery-cell 4-cell
warranty-summary 1-Year-Onsite-Warranty
suitable-for Everyday-Use
processor-name Core-i3
expandable-memory Upto-8-GB
memory-slots 1-Slots
clock-speed 2-GHz
keyboard Standard-Keyboard
dimensions 384-x-265-x-25-mm
