refrigerator-type Top-Freezer-Refrigerator
net-width 532-mm
built-in-stabilizer Yes
installation-&-demo This-product-does-not-require-installation.-The-features-of-the-product-are-presented-in-the-user-manual-that-comes-with-it.-Hence,the-manufacturer-does-not-provide-on-site-installation-or-demo-for-the-product.-In-case-of-any-queries-about-the-installation-or-the-features-of-product,kindly-call-us-at-1800-208-9898-or-(080)-49400000-for-assistance.
star-rating 3
type Single-Door
number-of-doors 1
toughened-glass Yes
product-name SAMSUNG-192-L-Direct-Cool-Single-Door-Refrigerator-RR19K282ZBZ-Tender-Lilly-Black-2016-
clock No
stabilizer-required No
net-depth 649-mm
sales-package 1-Refrigerator,User-Manual-and-Warranty-Card
deodorizer No
water-&-ice-dispenser No
gasket-type Anti-Bacterial-Gasket
number-of-refrigerator-shelves 3
warranty-summary 1-Year-Product-and-10-Years-on-the-Compressor
coolpad No
net-height 1192-mm
compressor-type Digital-Inverter-Compressor
capacity 192-L
shelf-material Toughened-Glass,Wire-Shelves
ice-cube-tray-type Twisted-Ice-Maker
covered-in-warranty All-Parts-Excluding-Plastic-Parts,Glassware,Bulb-and-Tube-from-the-Date-of-Purchase-Against-Defective-Material-and-Workmanship
defrosting-type Direct-Cool
domain Refrigerator
weight 37
manufacture-year 2016
water-dispenser No
freezer-tray-type Ice-Tray
flexible-rack No
id 1162
design Floral-Design
removable-rack Yes
child-lock No
